"Foliage","DBH","Age","Origin"
1.85,20.7,50,"Coppice"
3.4,24.2,50,"Coppice"
3.6,24.6,59,"Coppice"
2.82,26.9,54,"Coppice"
6.53,29.9,65,"Coppice"
0.28,10.7,43,"Coppice"
0.92,16.2,49,"Coppice"
0.68,17,44,"Coppice"
0.66,16.8,49,"Coppice"
2.42,21.1,69,"Coppice"
2.02,20.7,59,"Coppice"
2.06,20.9,60,"Coppice"
2.64,26.1,68,"Coppice"
2.91,27.2,58,"Coppice"
3.7,34.4,71,"Coppice"
0.3,9.3,51,"Coppice"
0.14,11.1,50,"Coppice"
3.24,14.6,59,"Coppice"
1.38,15.9,62,"Coppice"
1.06,17.4,55,"Coppice"
3.3,19.6,61,"Coppice"
2.33,18.3,63,"Coppice"
2.4,21.6,59,"Coppice"
7.53,24.4,65,"Coppice"
2.63,28.8,66,"Coppice"
1.1,9.2,39,"Coppice"
1.47,16.6,68,"Coppice"
4.11,19.7,62,"Coppice"
3.02,21.1,56,"Coppice"
3.03,21.5,70,"Coppice"
3.56,23.5,62,"Coppice"
3.07,27.4,69,"Coppice"
3.95,26.5,72,"Coppice"
0.52,13.2,38,"Coppice"
0.9,16.3,52,"Coppice"
0.87,22.8,67,"Coppice"
0.96,25.4,69,"Coppice"
2.17,25.7,69,"Coppice"
1.02,25.6,69,"Coppice"
2.26,28.7,68,"Coppice"
0.5,31.8,70,"Coppice"
2.03,37.4,76,"Coppice"
0.75,8.8,24,"Coppice"
1.87,10.4,34,"Coppice"
1.26,13.8,46,"Coppice"
2.37,18.1,64,"Coppice"
0.68,18.4,65,"Coppice"
1.43,22.4,60,"Coppice"
2.37,23.1,68,"Coppice"
2.5,23,56,"Coppice"
2.35,25.9,66,"Coppice"
4.74,30.8,94,"Coppice"
0.82,11.9,41,"Coppice"
0.58,14.2,58,"Coppice"
2.17,17.9,64,"Coppice"
2.02,18.5,65,"Coppice"
1.88,19.1,86,"Coppice"
1.74,20,74,"Coppice"
1.98,20.2,73,"Coppice"
3.84,24,64,"Coppice"
5.1,27.5,77,"Coppice"
7.35,33.6,84,"Coppice"
0.12,5.2,31,"Coppice"
1.67,12.1,44,"Coppice"
1.75,13.8,70,"Coppice"
3.47,16.4,72,"Coppice"
0.29,16.1,69,"Coppice"
2.56,17.6,67,"Coppice"
2.32,18.5,57,"Coppice"
3.3,20,83,"Coppice"
2.05,20.2,71,"Coppice"
4.22,23.2,84,"Coppice"
6.43,23,87,"Coppice"
14.01,25.5,74,"Coppice"
7.06,25.3,78,"Coppice"
2.6,28.7,86,"Coppice"
9.8,27.9,84,"Coppice"
3.6,28.9,86,"Coppice"
3.87,30,80,"Coppice"
14.08,32.2,79,"Coppice"
3.9,35.4,88,"Coppice"
3.64,36.7,84,"Coppice"
