"","Hage","Hht","Wage","Wht","Hmarried"
"186",51,1730,43,1570,22
"187",46,1644,51,1560,27
"188",50,1723,47,1650,25
"189",32,1758,NA,1635,24
"190",52,1718,32,1590,25
"191",30,1723,33,1590,22
"192",33,1708,NA,1566,21
"193",20,1786,18,1590,19
"194",32,1764,NA,1662,NA
"195",51,1675,45,1550,25
"196",64,1641,64,1570,30
"197",44,1743,43,1560,25
"198",40,1823,39,1630,23
"199",59,1720,56,1530,24
