"Store","CrustDescription","Topping","Diameter","DiameterInches"
"EagleBoys","DeepPan","BBQMeatlovers",29.09,11.4527559055118
"EagleBoys","MidCrust","BBQMeatlovers",28.67,11.2874015748031
"EagleBoys","DeepPan","BBQMeatlovers",30.02,11.8188976377953
"EagleBoys","MidCrust","SuperSupremo",28.76,11.3228346456693
"EagleBoys","ThinCrust","BBQMeatlovers",29.86,11.755905511811
"EagleBoys","ThinCrust","Hawaiian",28.73,11.3110236220472
"Dominos","ThinNCrispy","Supreme",28.97,11.4055118110236
"Dominos","ClassicCrust","BBQMeatlovers",26.81,10.5551181102362
"Dominos","DeepPan","BBQMeatlovers",27.1,10.6692913385827
"EagleBoys","DeepPan","SuperSupremo",29.36,11.5590551181102
"EagleBoys","ThinCrust","SuperSupremo",29.34,11.5511811023622
"EagleBoys","MidCrust","Hawaiian",28.9,11.3779527559055
"Dominos","ClassicCrust","Hawaiian",25.78,10.1496062992126
"Dominos","ThinNCrispy","Supreme",28.84,11.3543307086614
"Dominos","DeepPan","BBQMeatlovers",26.36,10.3779527559055
"Dominos","DeepPan","Hawaiian",26.11,10.2795275590551
"Dominos","ThinNCrispy","BBQMeatlovers",29.14,11.4724409448819
"Dominos","ClassicCrust","Supreme",26.71,10.5157480314961
