"","Region","Age","Education","SourceDistance","SourceQueueTime","HasGarden","HasLivestock","HouseholdPeople","HouseholdUnder5s","WaterSource","WashContainer","Diarrhea"
"78","Mbeng",55,"Secondary or higher","100m to 1000m","Under 5 min","Y","Y",4,0,"Bore","Before each fill","N"
"79","Mbeng",60,"Primary or less","Under 100m","5 to 15 min","Y","Y",2,0,"Bore","Before each fill","N"
"80","Mbeng",43,"Primary or less","Under 100m","Under 5 min","N","Y",4,1,"Bore","Before each fill","Y"
"81","Mbeng",60,"Primary or less","Under 100m","Under 5 min","Y","N",2,0,"Bore","Before each fill","N"
"82","Ntsingbeu",60,"Primary or less","Under 100m","Under 5 min","Y","N",8,3,"Bore","Before each fill","N"
"83","Ntsingbeu",32,"Primary or less","Under 100m","Under 5 min","Y","N",5,1,"Bore","Once per week","N"
"84","Ntsingbeu",60,"Secondary or higher","Under 100m","Under 5 min","Y","Y",18,3,"Bore","Before each fill","Y"
"85","Ntsingbeu",22,"Secondary or higher","100m to 1000m","5 to 15 min","Y","Y",5,1,"Tap","Before each fill","N"
"86","Ntsingbeu",53,"Primary or less","100m to 1000m","5 to 15 min","Y","Y",9,1,"Tap","Before each fill","Y"
"87","Ntsingbeu",58,"Primary or less","100m to 1000m","Under 5 min","N","Y",9,1,"River","Once per week","N"
"88","Ntsingbeu",60,"Primary or less","Under 100m","Under 5 min","N","Y",15,6,"River","Once per week","N"
"89","Ntsingbeu",29,"Secondary or higher","Under 100m","Under 5 min","Y","Y",13,2,"Bore","Before each fill","Y"
"90","Ntsingbeu",24,"Secondary or higher","Under 100m","Over 15 min","N","Y",4,1,"Bore","Once per week","N"
"91","Ntsingbeu",25,"Secondary or higher","Under 100m","Over 15 min","Y","N",14,1,"Bore","Before each fill","N"
"92","Ntsingbeu",24,"Secondary or higher","100m to 1000m","Over 15 min","Y","Y",12,4,"Tap","Once per week","N"
"93","Ntsingbeu",23,"Secondary or higher","Under 100m","Over 15 min","Y","Y",5,1,"Bore","Before each fill","N"
"94","Ntsingbeu",60,"Secondary or higher","Under 100m","Under 5 min","Y","Y",20,6,"River","Once per week","Y"
"95","Ntsingbeu",24,"Primary or less","Under 100m","Under 5 min","Y","Y",6,2,"Bore","Once per week","N"
"96","Ntsingbeu",28,"Primary or less","Under 100m","5 to 15 min","Y","N",5,1,"Bore","Before each fill","N"
"97","Ntsingbeu",24,"Secondary or higher","100m to 1000m","Under 5 min","N","Y",6,3,"River","Before each fill","N"
"98","Ntsingbeu",28,"Primary or less","Under 100m","Over 15 min","Y","Y",8,2,"Bore","Once per month","N"
"99","Ntsingbeu",57,"Secondary or higher","Under 100m","Under 5 min","Y","Y",6,2,"Well","Before each fill","N"
"100","Ntsingbeu",25,"Secondary or higher","Under 100m","Under 5 min","N","Y",8,2,"Bore","Once per week","N"
"101","Ntsingbeu",33,"Secondary or higher","Under 100m","Under 5 min","Y","Y",8,0,"Bore","Once per week","N"
"102","Ntsingbeu",27,"Secondary or higher","Under 100m","Under 5 min","Y","Y",3,0,"Bore","Before each fill","N"
"103","Ntsingbeu",41,"Secondary or higher","Under 100m","Under 5 min","Y","Y",5,2,"Bore","Once per week","N"
"104","Ntsingbeu",56,"Secondary or higher","Over 1000m","Over 15 min","Y","Y",4,0,"Bore","Before each fill","N"
"105","Ntsingbeu",35,"Secondary or higher","Under 100m","Under 5 min","N","Y",12,4,"Bore","Before each fill","N"
"106","Ntsingbeu",22,"Secondary or higher","100m to 1000m","Under 5 min","Y","Y",5,1,"Tap","Once per month","N"
"107","Ntsingbeu",28,"Secondary or higher","Under 100m","Under 5 min","N","N",1,0,"Bore","Before each fill","N"
"108","Ntsingbeu",53,"Primary or less","100m to 1000m","Under 5 min","Y","Y",10,3,"River","Before each fill","N"
"109","Ntsingbeu",60,"Primary or less","100m to 1000m","Under 5 min","Y","Y",1,0,"Bore","Once per month","N"
"110","Ntsingbeu",24,"Secondary or higher","Under 100m","Over 15 min","Y","Y",6,0,"Bore","Once per month","N"
"111","Ntsingbeu",22,"Secondary or higher","Under 100m","Over 15 min","Y","Y",9,2,"Bore","Before each fill","N"
"112","Ntsingbeu",59,"Secondary or higher","Under 100m","Under 5 min","Y","N",0,2,"River","Before each fill","N"
"113","Ntsingbeu",60,"Secondary or higher","100m to 1000m","Under 5 min","Y","N",7,1,"Bore","Before each fill","N"
"114","Ntsingbeu",41,"Primary or less","100m to 1000m","Over 15 min","Y","Y",4,0,"Bore","Before each fill","N"
"115","Ntsingbeu",48,"Primary or less","100m to 1000m","Under 5 min","Y","Y",16,2,"River","Before each fill","N"
"116","Ntsingbeu",60,"Primary or less","100m to 1000m","5 to 15 min","N","Y",15,5,"Bore","Before each fill","N"
"117","Ntsingbeu",48,"Secondary or higher","100m to 1000m","Over 15 min","Y","Y",5,1,"Bore","Before each fill","N"
"118","Ntsingbeu",22,"Secondary or higher","100m to 1000m","Over 15 min","Y","Y",3,0,"Bore","Before each fill","N"
"119","Ntsingbeu",60,"Secondary or higher","Under 100m","Under 5 min","Y","Y",11,5,"River","Once per week","Y"
"120","Ntsingbeu",37,"Primary or less","Over 1000m",NA,"Y","Y",10,4,"Bore","Once per week","N"
"121","Ntsingbeu",53,"Primary or less","Over 1000m","Over 15 min","Y","N",3,0,"Bore","Before each fill","N"
