"","Meals","Live"
"103","Most off-campus","Not living with parents"
"104","Most off-campus","Not living with parents"
"105","Most off-campus","Not living with parents"
"106","Most off-campus","Not living with parents"
"107","Most off-campus","Not living with parents"
"108","Most off-campus","Not living with parents"
"109","Most off-campus","Not living with parents"
"110","Most off-campus","Not living with parents"
"111","Most off-campus","Not living with parents"
"112","Most off-campus","Not living with parents"
"113","Most off-campus","Not living with parents"
"114","Most off-campus","Not living with parents"
"115","Most off-campus","Not living with parents"
"116","Most off-campus","Not living with parents"
"117","Most off-campus","Not living with parents"
"118","Most off-campus","Not living with parents"
"119","Most off-campus","Not living with parents"
"120","Most off-campus","Not living with parents"
"121","Most off-campus","Not living with parents"
"122","Most off-campus","Not living with parents"
"123","Most off-campus","Not living with parents"
"124","Most off-campus","Not living with parents"
"125","Most off-campus","Not living with parents"
"126","Most off-campus","Not living with parents"
"127","Most off-campus","Not living with parents"
"128","Most off-campus","Not living with parents"
"129","Most off-campus","Not living with parents"
"130","Most off-campus","Not living with parents"
"131","Most off-campus","Not living with parents"
"132","Most off-campus","Not living with parents"
"133","Most off-campus","Not living with parents"
"134","Most off-campus","Not living with parents"
"135","Most off-campus","Not living with parents"
"136","Most off-campus","Not living with parents"
"137","Most off-campus","Not living with parents"
"138","Most off-campus","Not living with parents"
"139","Most off-campus","Not living with parents"
"140","Most off-campus","Not living with parents"
"141","Most off-campus","Not living with parents"
"142","Most off-campus","Not living with parents"
"143","Most off-campus","Not living with parents"
"144","Most off-campus","Not living with parents"
"145","Most off-campus","Not living with parents"
"146","Most off-campus","Not living with parents"
"147","Most off-campus","Not living with parents"
"148","Most off-campus","Not living with parents"
"149","Most off-campus","Not living with parents"
"150","Most off-campus","Not living with parents"
"151","Most off-campus","Not living with parents"
"152","Most off-campus","Not living with parents"
"153","Most off-campus","Not living with parents"
"154","Most off-campus","Not living with parents"
"155","Most off-campus","Not living with parents"
"156","Most off-campus","Not living with parents"
"157","Most off-campus","Not living with parents"
"158","Most on-campus","Living with parents"
"159","Most on-campus","Living with parents"
"160","Most on-campus","Not living with parents"
"161","Most on-campus","Not living with parents"
"162","Most on-campus","Not living with parents"
"163","Most on-campus","Not living with parents"
"164","Most on-campus","Not living with parents"
"165","Most on-campus","Not living with parents"
"166","Most on-campus","Not living with parents"
"167","Most on-campus","Not living with parents"
"168","Most on-campus","Not living with parents"
"169","Most on-campus","Not living with parents"
"170","Most on-campus","Not living with parents"
"171","Most on-campus","Not living with parents"
"172","Most on-campus","Not living with parents"
"173","Most on-campus","Not living with parents"
"174","Most on-campus","Not living with parents"
"175","Most on-campus","Not living with parents"
"176","Most on-campus","Not living with parents"
"177","Most on-campus","Not living with parents"
"178","Most on-campus","Not living with parents"
"179","Most on-campus","Not living with parents"
"180","Most on-campus","Not living with parents"
"181","Most on-campus","Not living with parents"
"182","Most on-campus","Not living with parents"
"183","Most on-campus","Not living with parents"
